weight vector:
0.4,-0.3,-0.7,0.9,-1.0,7.0
parameter value:,0.03
no. f separating features:,6
row no.,inner product,misclassified status,b
32,[[11.]],1,[[-8 -6 -8 -8 -7  1]]
33,[[6.]],1,[[-7 -5 -5 -8 -4  1]]
34,[[12.7]],1,[[-5 -6 -5 -4 -6  1]]
35,[[15.7]],1,[[-5 -8 -7 -4 -7  1]]
36,[[10.5]],1,[[-5 -7 -8 -8 -5  1]]
37,[[7.4]],1,[[-8 -8 -5 -7 -4  1]]
38,[[11.]],1,[[-4 -8 -5 -7 -6  1]]
39,[[13.8]],1,[[-4 -4 -4 -4 -8  1]]
40,[[12.8]],1,[[-6 -5 -6 -5 -7  1]]
41,[[12.3]],1,[[-7 -5 -6 -4 -6  1]]
42,[[13.7]],1,[[-6 -7 -8 -4 -5  1]]
43,[[9.9]],1,[[-5 -7 -6 -6 -4  1]]
44,[[11.3]],1,[[-6 -5 -8 -6 -5  1]]
45,[[11.7]],1,[[-5 -5 -4 -4 -6  1]]
46,[[10.4]],1,[[-7 -4 -5 -5 -6  1]]
47,[[10.4]],1,[[-8 -5 -8 -5 -4  1]]
48,[[9.9]],1,[[-8 -8 -6 -5 -4  1]]
49,[[13.4]],1,[[-6 -5 -7 -4 -6  1]]
50,[[11.9]],1,[[-4 -7 -4 -6 -7  1]]
51,[[8.2]],1,[[-8 -4 -4 -4 -4  1]]
52,[[13.2]],1,[[-6 -4 -7 -5 -7  1]]
53,[[11.9]],1,[[-5 -4 -7 -8 -8  1]]
54,[[11.]],1,[[-7 -8 -8 -8 -6  1]]
55,[[9.5]],1,[[-4 -4 -6 -7 -5  1]]
56,[[7.2]],1,[[-8 -4 -5 -7 -5  1]]
57,[[9.5]],1,[[-8 -7 -7 -7 -5  1]]
58,[[15.5]],1,[[-4 -7 -8 -4 -6  1]]
59,[[13.]],1,[[-7 -6 -8 -4 -5  1]]
60,[[11.3]],1,[[-7 -7 -5 -5 -6  1]]
61,[[9.9]],1,[[-8 -6 -8 -7 -5  1]]
62,[[8.8]],1,[[-5 -5 -5 -8 -6  1]]
63,[[8.7]],1,[[-7 -4 -4 -5 -5  1]]
64,[[16.6]],1,[[-4 -7 -8 -5 -8  1]]
65,[[9.1]],1,[[-8 -4 -5 -6 -6  1]]
66,[[13.5]],1,[[-5 -8 -5 -6 -8  1]]
67,[[13.4]],1,[[-5 -5 -5 -4 -7  1]]
68,[[11.7]],1,[[-4 -7 -8 -6 -4  1]]
69,[[11.5]],1,[[-6 -5 -8 -8 -7  1]]
70,[[13.3]],1,[[-5 -6 -7 -6 -7  1]]
71,[[12.]],1,[[-4 -7 -4 -7 -8  1]]
72,[[7.7]],1,[[-8 -8 -4 -7 -5  1]]
73,[[11.6]],1,[[-5 -6 -6 -6 -6  1]]
74,[[14.8]],1,[[-5 -4 -6 -4 -8  1]]
75,[[15.]],1,[[-4 -7 -7 -6 -8  1]]
76,[[9.8]],1,[[-5 -6 -6 -8 -6  1]]
77,[[11.9]],1,[[-6 -7 -8 -6 -5  1]]
78,[[12.4]],1,[[-6 -7 -7 -8 -8  1]]
79,[[11.9]],1,[[-8 -7 -5 -5 -7  1]]
80,[[12.8]],1,[[-4 -7 -7 -4 -4  1]]
81,[[8.9]],1,[[-6 -8 -6 -7 -4  1]]
82,[[8.]],1,[[-5 -8 -4 -8 -5  1]]
83,[[8.4]],1,[[-6 -4 -4 -8 -7  1]]
84,[[11.3]],1,[[-4 -5 -8 -8 -6  1]]
85,[[13.8]],1,[[-8 -8 -6 -4 -7  1]]
86,[[13.7]],1,[[-5 -5 -4 -4 -8  1]]
87,[[15.8]],1,[[-4 -8 -8 -4 -6  1]]
88,[[13.9]],1,[[-5 -4 -6 -5 -8  1]]
89,[[14.6]],1,[[-5 -8 -4 -4 -8  1]]
90,[[14.2]],1,[[-5 -7 -8 -5 -6  1]]
91,[[12.1]],1,[[-5 -7 -6 -8 -8  1]]
92,[[11.6]],1,[[-8 -5 -8 -7 -7  1]]
93,[[11.7]],1,[[-7 -8 -8 -5 -4  1]]
94,[[8.]],1,[[-8 -4 -5 -5 -4  1]]
95,[[13.5]],1,[[-8 -8 -8 -7 -8  1]]
96,[[12.8]],1,[[-7 -8 -8 -6 -6  1]]
97,[[12.8]],1,[[-7 -8 -8 -6 -6  1]]
98,[[12.7]],1,[[-6 -7 -8 -4 -4  1]]
99,[[9.7]],1,[[-5 -7 -7 -7 -4  1]]
100,[[9.8]],1,[[-8 -7 -5 -4 -4  1]]
101,[[7.9]],1,[[-7 -8 -5 -8 -5  1]]
102,[[12.]],1,[[-6 -7 -4 -5 -7  1]]
103,[[8.1]],1,[[-8 -6 -4 -7 -6  1]]
104,[[10.9]],1,[[-4 -7 -8 -8 -5  1]]
105,[[6.7]],1,[[-6 -6 -5 -8 -4  1]]
106,[[9.8]],1,[[-6 -5 -6 -5 -4  1]]
107,[[10.4]],1,[[-6 -7 -6 -5 -4  1]]
108,[[9.5]],1,[[-7 -4 -5 -6 -6  1]]
109,[[12.6]],1,[[-5 -5 -8 -5 -5  1]]
110,[[13.6]],1,[[-7 -8 -5 -5 -8  1]]
111,[[12.8]],1,[[-4 -4 -4 -4 -7  1]]
112,[[14.4]],1,[[-5 -8 -5 -5 -8  1]]
113,[[12.9]],1,[[-6 -8 -6 -7 -8  1]]
114,[[11.]],1,[[-7 -5 -7 -4 -4  1]]
115,[[8.4]],1,[[-5 -4 -5 -7 -5  1]]
116,[[11.3]],1,[[-6 -5 -4 -4 -6  1]]
117,[[13.]],1,[[-5 -4 -6 -6 -8  1]]
118,[[9.7]],1,[[-5 -5 -5 -7 -6  1]]
119,[[12.5]],1,[[-5 -4 -7 -4 -5  1]]
120,[[10.6]],1,[[-7 -8 -5 -5 -5  1]]
121,[[15.6]],1,[[-4 -4 -8 -4 -7  1]]
122,[[9.4]],1,[[-6 -5 -5 -8 -7  1]]
123,[[9.5]],1,[[-4 -6 -4 -5 -4  1]]
124,[[11.4]],1,[[-4 -7 -5 -4 -4  1]]
125,[[13.4]],1,[[-5 -8 -8 -4 -4  1]]
126,[[11.5]],1,[[-8 -6 -5 -4 -6  1]]
127,[[11.]],1,[[-7 -8 -7 -5 -4  1]]
128,[[12.]],1,[[-8 -7 -5 -6 -8  1]]
129,[[13.9]],1,[[-7 -6 -5 -4 -8  1]]
130,[[11.5]],1,[[-6 -6 -5 -6 -7  1]]
131,[[9.]],1,[[-7 -4 -7 -7 -5  1]]
132,[[14.]],1,[[-5 -6 -4 -4 -8  1]]
133,[[14.]],1,[[-4 -8 -4 -4 -7  1]]
134,[[12.]],1,[[-5 -7 -5 -4 -5  1]]
135,[[9.]],1,[[-7 -5 -5 -8 -7  1]]
136,[[12.3]],1,[[-5 -5 -6 -6 -7  1]]
137,[[10.7]],1,[[-7 -4 -8 -7 -6  1]]
138,[[9.4]],1,[[-7 -5 -7 -8 -6  1]]
139,[[9.]],1,[[-6 -7 -5 -8 -6  1]]
140,[[15.1]],1,[[-6 -7 -7 -5 -8  1]]
141,[[8.7]],1,[[-8 -6 -5 -6 -5  1]]
142,[[8.7]],1,[[-7 -7 -8 -8 -4  1]]
143,[[12.1]],1,[[-5 -8 -7 -8 -7  1]]
144,[[11.9]],1,[[-7 -6 -6 -7 -8  1]]
145,[[10.1]],1,[[-4 -5 -4 -4 -4  1]]
146,[[10.9]],1,[[-5 -7 -6 -6 -5  1]]
147,[[8.9]],1,[[-7 -4 -7 -6 -4  1]]
148,[[11.9]],1,[[-7 -7 -6 -4 -5  1]]
149,[[10.3]],1,[[-4 -5 -4 -6 -6  1]]
150,[[10.3]],1,[[-4 -4 -7 -8 -6  1]]
151,[[14.2]],1,[[-4 -8 -7 -5 -6  1]]
152,[[15.1]],1,[[-6 -7 -7 -5 -8  1]]
153,[[8.6]],1,[[-8 -6 -5 -5 -4  1]]
154,[[11.4]],1,[[-4 -5 -4 -7 -8  1]]
155,[[8.8]],1,[[-6 -4 -5 -5 -4  1]]
156,[[13.6]],1,[[-8 -7 -6 -5 -8  1]]
157,[[10.9]],1,[[-7 -6 -5 -4 -5  1]]
158,[[16.]],1,[[-6 -8 -8 -4 -7  1]]
159,[[5.3]],1,[[-7 -5 -4 -8 -4  1]]
160,[[9.4]],1,[[-8 -4 -7 -5 -4  1]]
161,[[9.8]],1,[[-8 -8 -4 -8 -8  1]]
162,[[12.7]],1,[[-5 -8 -4 -5 -7  1]]
163,[[10.2]],1,[[-8 -4 -4 -4 -6  1]]
164,[[7.]],1,[[-6 -7 -5 -8 -4  1]]
165,[[12.]],1,[[-5 -6 -8 -6 -5  1]]
166,[[15.5]],1,[[-5 -5 -8 -4 -7  1]]
167,[[10.1]],1,[[-6 -6 -7 -8 -6  1]]
168,[[14.2]],1,[[-4 -5 -8 -7 -8  1]]
169,[[10.6]],1,[[-4 -6 -8 -8 -5  1]]
170,[[10.9]],1,[[-8 -8 -7 -8 -7  1]]
171,[[15.2]],1,[[-6 -5 -8 -5 -8  1]]
172,[[8.2]],1,[[-6 -4 -4 -6 -5  1]]
173,[[10.3]],1,[[-8 -7 -7 -5 -4  1]]
174,[[12.]],1,[[-6 -8 -6 -8 -8  1]]
175,[[10.5]],1,[[-5 -8 -5 -6 -5  1]]
176,[[13.5]],1,[[-8 -7 -6 -4 -7  1]]
177,[[13.4]],1,[[-7 -4 -8 -4 -6  1]]
178,[[13.3]],1,[[-4 -4 -6 -5 -7  1]]
179,[[13.6]],1,[[-7 -8 -8 -4 -5  1]]
180,[[11.]],1,[[-5 -6 -4 -4 -5  1]]
181,[[9.7]],1,[[-7 -4 -4 -5 -6  1]]
182,[[8.8]],1,[[-5 -5 -4 -5 -4  1]]
183,[[10.2]],1,[[-4 -5 -8 -7 -4  1]]
184,[[11.8]],1,[[-4 -5 -6 -7 -7  1]]
185,[[13.1]],1,[[-4 -5 -8 -6 -6  1]]
186,[[9.4]],1,[[-7 -6 -8 -8 -5  1]]
187,[[13.9]],1,[[-4 -7 -7 -5 -6  1]]
188,[[10.8]],1,[[-7 -5 -5 -6 -7  1]]
189,[[13.3]],1,[[-4 -4 -6 -5 -7  1]]
190,[[9.]],1,[[-7 -7 -7 -8 -5  1]]
191,[[11.]],1,[[-4 -4 -7 -5 -4  1]]
192,[[9.]],1,[[-7 -8 -8 -8 -4  1]]
193,[[10.7]],1,[[-8 -8 -7 -6 -5  1]]
194,[[10.5]],1,[[-6 -4 -7 -8 -7  1]]
195,[[10.2]],1,[[-4 -8 -4 -6 -5  1]]
196,[[12.9]],1,[[-6 -4 -8 -5 -6  1]]
197,[[11.4]],1,[[-5 -7 -8 -7 -5  1]]
198,[[9.4]],1,[[-7 -6 -4 -6 -6  1]]
199,[[7.7]],1,[[-6 -6 -5 -8 -5  1]]
200,[[8.6]],1,[[-6 -8 -4 -8 -6  1]]
201,[[11.3]],1,[[-5 -6 -4 -7 -8  1]]
202,[[10.1]],1,[[-8 -4 -5 -6 -7  1]]
203,[[12.7]],1,[[-8 -6 -8 -5 -6  1]]
204,[[11.]],1,[[-6 -6 -7 -7 -6  1]]
205,[[9.2]],1,[[-5 -6 -4 -6 -5  1]]
206,[[12.]],1,[[-5 -7 -5 -4 -5  1]]
207,[[11.]],1,[[-4 -7 -7 -6 -4  1]]
208,[[8.2]],1,[[-8 -6 -7 -7 -4  1]]
209,[[9.9]],1,[[-5 -4 -7 -8 -6  1]]
210,[[9.]],1,[[-7 -6 -5 -5 -4  1]]
211,[[8.5]],1,[[-4 -6 -5 -8 -5  1]]
212,[[13.3]],1,[[-7 -7 -8 -4 -5  1]]
213,[[11.4]],1,[[-4 -4 -6 -6 -6  1]]
214,[[10.7]],1,[[-7 -8 -5 -6 -6  1]]
215,[[12.4]],1,[[-4 -8 -6 -4 -4  1]]
216,[[9.8]],1,[[-8 -6 -8 -6 -4  1]]
217,[[8.8]],1,[[-7 -8 -5 -7 -5  1]]
218,[[8.7]],1,[[-8 -5 -8 -8 -5  1]]
219,[[13.3]],1,[[-4 -8 -7 -6 -6  1]]
220,[[10.5]],1,[[-4 -6 -8 -7 -4  1]]
221,[[14.8]],1,[[-5 -6 -8 -4 -6  1]]
222,[[8.6]],1,[[-7 -7 -5 -8 -6  1]]
223,[[9.6]],1,[[-5 -8 -5 -7 -5  1]]
224,[[13.1]],1,[[-5 -4 -5 -4 -7  1]]
225,[[13.1]],1,[[-5 -5 -6 -4 -6  1]]
226,[[9.5]],1,[[-6 -5 -8 -8 -5  1]]
227,[[11.6]],1,[[-8 -4 -6 -4 -6  1]]
228,[[10.7]],1,[[-5 -5 -4 -4 -5  1]]
229,[[12.1]],1,[[-4 -5 -4 -4 -6  1]]
230,[[14.7]],1,[[-4 -6 -7 -6 -8  1]]
231,[[15.1]],1,[[-5 -8 -6 -5 -8  1]]
232,[[11.8]],1,[[-4 -7 -8 -7 -5  1]]
233,[[10.6]],1,[[-6 -5 -7 -6 -5  1]]
234,[[9.3]],1,[[-7 -8 -7 -8 -5  1]]
235,[[9.2]],1,[[-6 -5 -5 -6 -5  1]]
236,[[8.9]],1,[[-6 -8 -6 -7 -4  1]]
237,[[14.5]],1,[[-7 -7 -8 -6 -8  1]]
238,[[14.2]],1,[[-4 -4 -6 -4 -7  1]]
239,[[13.4]],1,[[-5 -7 -7 -4 -5  1]]
240,[[10.3]],1,[[-6 -6 -5 -4 -4  1]]
241,[[10.1]],1,[[-4 -8 -4 -5 -4  1]]
242,[[10.9]],1,[[-4 -6 -7 -8 -6  1]]
243,[[11.2]],1,[[-5 -4 -6 -8 -8  1]]
244,[[9.3]],1,[[-7 -7 -5 -5 -4  1]]
245,[[13.9]],1,[[-6 -7 -4 -4 -8  1]]
246,[[12.8]],1,[[-6 -6 -7 -5 -6  1]]
247,[[10.7]],1,[[-5 -5 -4 -4 -5  1]]
248,[[14.4]],1,[[-4 -5 -7 -6 -8  1]]
249,[[11.5]],1,[[-4 -5 -6 -4 -4  1]]
250,[[11.4]],1,[[-6 -5 -7 -4 -4  1]]
251,[[11.4]],1,[[-7 -4 -8 -4 -4  1]]
252,[[9.]],1,[[-6 -7 -5 -8 -6  1]]
253,[[13.7]],1,[[-7 -6 -6 -5 -8  1]]
254,[[10.9]],1,[[-6 -7 -4 -4 -5  1]]
255,[[9.9]],1,[[-8 -6 -4 -5 -6  1]]
256,[[10.5]],1,[[-4 -7 -5 -5 -4  1]]
257,[[10.5]],1,[[-4 -6 -4 -5 -5  1]]
258,[[15.2]],1,[[-4 -4 -6 -4 -8  1]]
259,[[10.4]],1,[[-4 -4 -6 -6 -5  1]]
260,[[12.6]],1,[[-8 -5 -8 -7 -8  1]]
261,[[13.]],1,[[-6 -4 -4 -4 -8  1]]
262,[[16.1]],1,[[-5 -7 -8 -4 -7  1]]
263,[[10.2]],1,[[-8 -7 -5 -8 -8  1]]
264,[[13.5]],1,[[-8 -6 -5 -4 -8  1]]
265,[[10.3]],1,[[-7 -6 -4 -5 -6  1]]
266,[[9.5]],1,[[-4 -6 -5 -8 -6  1]]
267,[[10.4]],1,[[-4 -7 -6 -7 -5  1]]
268,[[10.7]],1,[[-7 -5 -6 -8 -8  1]]
269,[[10.9]],1,[[-7 -6 -6 -7 -7  1]]
270,[[14.1]],1,[[-4 -6 -5 -4 -7  1]]
271,[[8.7]],1,[[-8 -7 -6 -6 -4  1]]
272,[[10.1]],1,[[-7 -4 -7 -8 -7  1]]
273,[[16.1]],1,[[-5 -7 -8 -4 -7  1]]
274,[[7.4]],1,[[-7 -4 -6 -8 -5  1]]
275,[[8.7]],1,[[-4 -4 -5 -6 -4  1]]
276,[[8.7]],1,[[-8 -4 -7 -8 -6  1]]
277,[[9.6]],1,[[-5 -5 -5 -6 -5  1]]
278,[[7.8]],1,[[-6 -6 -4 -6 -4  1]]
279,[[9.4]],1,[[-4 -7 -6 -7 -4  1]]
280,[[14.4]],1,[[-8 -8 -8 -6 -8  1]]
281,[[12.2]],1,[[-6 -8 -4 -4 -6  1]]
282,[[11.5]],1,[[-7 -8 -5 -4 -5  1]]
283,[[7.7]],1,[[-5 -5 -5 -7 -4  1]]
284,[[11.8]],1,[[-4 -7 -5 -8 -8  1]]
285,[[11.]],1,[[-7 -7 -7 -8 -7  1]]
286,[[11.2]],1,[[-6 -8 -8 -6 -4  1]]
287,[[12.2]],1,[[-8 -5 -5 -4 -7  1]]
288,[[7.8]],1,[[-5 -4 -4 -8 -6  1]]
289,[[15.9]],1,[[-4 -4 -7 -4 -8  1]]
290,[[13.]],1,[[-7 -6 -5 -5 -8  1]]
291,[[14.8]],1,[[-6 -4 -8 -4 -7  1]]
292,[[11.5]],1,[[-8 -7 -6 -4 -5  1]]
293,[[10.9]],1,[[-4 -8 -5 -6 -5  1]]
294,[[10.5]],1,[[-7 -7 -8 -6 -4  1]]
295,[[7.8]],1,[[-4 -7 -5 -8 -4  1]]
296,[[13.8]],1,[[-5 -4 -6 -4 -7  1]]
297,[[13.1]],1,[[-6 -8 -5 -6 -8  1]]
298,[[9.9]],1,[[-5 -4 -7 -8 -6  1]]
299,[[8.]],1,[[-6 -7 -5 -8 -5  1]]
300,[[10.8]],1,[[-5 -5 -8 -7 -5  1]]
301,[[13.1]],1,[[-7 -7 -6 -6 -8  1]]
302,[[13.]],1,[[-5 -8 -6 -4 -5  1]]
303,[[8.7]],1,[[-7 -5 -6 -8 -6  1]]
304,[[9.]],1,[[-8 -6 -4 -6 -6  1]]
305,[[13.1]],1,[[-6 -7 -8 -8 -8  1]]
306,[[12.3]],1,[[-4 -6 -5 -6 -7  1]]
307,[[9.]],1,[[-8 -6 -8 -8 -5  1]]
308,[[10.8]],1,[[-5 -7 -6 -5 -4  1]]
309,[[8.6]],1,[[-4 -5 -7 -8 -4  1]]
310,[[13.5]],1,[[-4 -4 -5 -4 -7  1]]
311,[[9.9]],1,[[-7 -5 -4 -4 -5  1]]
312,[[9.1]],1,[[-6 -5 -5 -5 -4  1]]
313,[[7.5]],1,[[-8 -7 -4 -8 -6  1]]
314,[[10.8]],1,[[-7 -4 -7 -5 -5  1]]
315,[[9.9]],1,[[-5 -8 -4 -7 -6  1]]
316,[[7.4]],1,[[-6 -5 -5 -8 -5  1]]
317,[[12.]],1,[[-6 -5 -5 -4 -6  1]]
318,[[7.7]],1,[[-5 -8 -5 -8 -4  1]]
319,[[10.5]],1,[[-8 -6 -6 -7 -7  1]]
320,[[14.2]],1,[[-7 -7 -5 -4 -8  1]]
321,[[11.3]],1,[[-5 -6 -7 -6 -5  1]]
322,[[9.]],1,[[-8 -8 -6 -6 -4  1]]
323,[[11.3]],1,[[-4 -8 -4 -7 -7  1]]
324,[[14.2]],1,[[-4 -6 -8 -4 -5  1]]
325,[[11.9]],1,[[-6 -7 -8 -6 -5  1]]
326,[[10.]],1,[[-6 -6 -4 -8 -8  1]]
327,[[9.6]],1,[[-7 -4 -8 -6 -4  1]]
328,[[13.2]],1,[[-4 -5 -4 -5 -8  1]]
329,[[11.]],1,[[-8 -8 -6 -6 -6  1]]
330,[[12.5]],1,[[-5 -4 -8 -7 -7  1]]
331,[[13.8]],1,[[-4 -6 -6 -4 -6  1]]
332,[[12.6]],1,[[-8 -8 -8 -8 -8  1]]
333,[[10.4]],1,[[-5 -5 -5 -4 -4  1]]
334,[[12.2]],1,[[-8 -8 -8 -4 -4  1]]
335,[[13.5]],1,[[-8 -5 -8 -6 -8  1]]
336,[[14.]],1,[[-4 -6 -6 -6 -8  1]]
337,[[16.6]],1,[[-4 -4 -8 -4 -8  1]]
338,[[12.7]],1,[[-8 -8 -7 -6 -7  1]]
339,[[14.8]],1,[[-4 -7 -8 -7 -8  1]]
340,[[15.2]],1,[[-4 -8 -7 -5 -7  1]]
341,[[12.5]],1,[[-6 -5 -7 -5 -6  1]]
342,[[11.5]],1,[[-7 -4 -8 -5 -5  1]]
343,[[13.4]],1,[[-8 -7 -7 -6 -8  1]]
344,[[13.3]],1,[[-8 -5 -8 -4 -6  1]]
345,[[11.7]],1,[[-6 -8 -7 -8 -7  1]]
346,[[14.7]],1,[[-4 -7 -4 -4 -8  1]]
347,[[9.4]],1,[[-5 -5 -6 -7 -5  1]]
348,[[9.9]],1,[[-7 -7 -7 -7 -5  1]]
349,[[10.4]],1,[[-5 -8 -6 -8 -6  1]]
350,[[11.8]],1,[[-5 -5 -8 -7 -6  1]]
351,[[11.8]],1,[[-5 -5 -4 -5 -7  1]]
352,[[13.4]],1,[[-7 -7 -8 -5 -6  1]]
353,[[15.1]],1,[[-4 -8 -8 -7 -8  1]]
354,[[11.9]],1,[[-4 -8 -5 -6 -6  1]]
355,[[9.1]],1,[[-7 -5 -8 -8 -5  1]]
356,[[13.2]],1,[[-5 -4 -5 -5 -8  1]]
357,[[13.]],1,[[-8 -8 -6 -6 -8  1]]
358,[[12.7]],1,[[-6 -6 -4 -5 -8  1]]
359,[[9.5]],1,[[-7 -5 -6 -6 -5  1]]
360,[[10.9]],1,[[-7 -6 -5 -4 -5  1]]
361,[[15.1]],1,[[-7 -6 -8 -5 -8  1]]
362,[[8.4]],1,[[-5 -6 -4 -8 -6  1]]
363,[[14.2]],1,[[-5 -4 -8 -4 -6  1]]
364,[[12.]],1,[[-4 -6 -6 -6 -6  1]]
365,[[12.5]],1,[[-8 -8 -4 -5 -8  1]]
366,[[11.4]],1,[[-4 -6 -4 -4 -5  1]]
367,[[9.3]],1,[[-6 -8 -4 -5 -4  1]]
368,[[8.9]],1,[[-7 -8 -5 -8 -6  1]]
369,[[11.5]],1,[[-6 -4 -7 -8 -8  1]]
370,[[13.4]],1,[[-7 -5 -6 -5 -8  1]]
371,[[10.6]],1,[[-7 -6 -6 -4 -4  1]]
372,[[12.1]],1,[[-7 -5 -7 -5 -6  1]]
373,[[6.7]],1,[[-8 -8 -4 -7 -4  1]]
374,[[13.3]],1,[[-6 -6 -5 -4 -7  1]]
375,[[11.2]],1,[[-4 -8 -8 -8 -5  1]]
376,[[10.6]],1,[[-7 -8 -6 -8 -7  1]]
377,[[14.2]],1,[[-5 -6 -7 -5 -7  1]]
378,[[10.]],1,[[-7 -7 -7 -8 -6  1]]
379,[[13.2]],1,[[-8 -6 -6 -4 -7  1]]
380,[[13.1]],1,[[-5 -5 -7 -7 -8  1]]
381,[[12.]],1,[[-5 -8 -6 -4 -4  1]]
382,[[8.8]],1,[[-5 -4 -7 -7 -4  1]]
383,[[10.8]],1,[[-4 -7 -5 -8 -7  1]]
384,[[11.9]],1,[[-6 -8 -6 -7 -7  1]]
385,[[14.3]],1,[[-8 -5 -8 -4 -7  1]]
386,[[11.5]],1,[[-4 -6 -8 -7 -5  1]]
387,[[10.4]],1,[[-6 -8 -8 -8 -5  1]]
388,[[13.4]],1,[[-8 -7 -7 -6 -8  1]]
389,[[12.1]],1,[[-6 -7 -8 -8 -7  1]]
390,[[12.2]],1,[[-6 -8 -4 -4 -6  1]]
391,[[11.9]],1,[[-5 -5 -4 -6 -8  1]]
392,[[11.3]],1,[[-5 -4 -5 -6 -7  1]]
393,[[12.1]],1,[[-4 -8 -4 -5 -6  1]]
394,[[13.4]],1,[[-7 -6 -7 -5 -7  1]]
395,[[12.9]],1,[[-6 -8 -5 -4 -6  1]]
396,[[10.5]],1,[[-7 -6 -7 -6 -5  1]]
397,[[9.8]],1,[[-6 -6 -8 -8 -5  1]]
398,[[11.7]],1,[[-5 -6 -5 -4 -5  1]]
399,[[12.4]],1,[[-6 -5 -7 -4 -5  1]]
400,[[10.5]],1,[[-7 -4 -8 -5 -4  1]]
401,[[8.8]],1,[[-5 -4 -4 -8 -7  1]]
402,[[12.]],1,[[-5 -5 -7 -6 -6  1]]
403,[[7.5]],1,[[-8 -7 -4 -8 -6  1]]
404,[[9.3]],1,[[-7 -8 -7 -8 -5  1]]
405,[[7.9]],1,[[-6 -6 -4 -7 -5  1]]
406,[[14.9]],1,[[-8 -6 -7 -4 -8  1]]
407,[[10.9]],1,[[-7 -5 -4 -4 -6  1]]
408,[[9.5]],1,[[-6 -5 -8 -8 -5  1]]
409,[[13.6]],1,[[-6 -7 -5 -4 -7  1]]
410,[[7.8]],1,[[-6 -4 -6 -8 -5  1]]
411,[[10.5]],1,[[-4 -7 -6 -8 -6  1]]
412,[[10.2]],1,[[-8 -7 -4 -5 -6  1]]
413,[[8.6]],1,[[-5 -4 -4 -6 -5  1]]
414,[[9.9]],1,[[-5 -5 -8 -8 -5  1]]
415,[[11.3]],1,[[-6 -6 -6 -7 -7  1]]
416,[[9.6]],1,[[-5 -8 -5 -7 -5  1]]
417,[[11.8]],1,[[-8 -4 -6 -6 -8  1]]
418,[[13.5]],1,[[-7 -6 -7 -6 -8  1]]
419,[[14.2]],1,[[-7 -8 -6 -4 -7  1]]
420,[[11.4]],1,[[-5 -4 -5 -7 -8  1]]
421,[[14.4]],1,[[-4 -8 -6 -4 -6  1]]
422,[[15.1]],1,[[-4 -8 -8 -7 -8  1]]
423,[[11.9]],1,[[-8 -6 -8 -7 -7  1]]
424,[[12.7]],1,[[-5 -7 -7 -7 -7  1]]
425,[[10.9]],1,[[-5 -7 -6 -6 -5  1]]
426,[[9.6]],1,[[-6 -6 -4 -4 -4  1]]
427,[[11.4]],1,[[-6 -6 -5 -5 -6  1]]
428,[[12.3]],1,[[-6 -8 -4 -5 -7  1]]
429,[[12.3]],1,[[-4 -6 -8 -5 -4  1]]
430,[[9.5]],1,[[-4 -5 -7 -7 -4  1]]
431,[[12.5]],1,[[-6 -7 -6 -6 -7  1]]
432,[[11.4]],1,[[-8 -7 -7 -6 -6  1]]
433,[[10.1]],1,[[-6 -7 -8 -8 -5  1]]
